,Pathogen,Numlist,StudyNum,Study,Author,year,Gene_ID,Virulence_factor,Disease_Variable_Recat,Mutant_dis_mean,Mutant_dis_mean_stand,Mutant_sdcal,Mutant_dis_sd,Mutant_dis_sd_stand,Mutant_N,SE_SD,Wildtype_dis_mean,Wildtype_dis_mean_stand,Wildtype_sdcal,Wildtype_dis_sd,Wildtype_dis_sd_stand,Wildtype_N,Infection_Strategy,Necrotrophic,Saprophytic,Hemibiotrophic,Biotrophic,Class of Host being affected,Fruits,Field,Woody,Ornamental,Mode of transmission,Air,Soil,Water,Host tissue target,Leaves/stem,Fruits/Flower,Root/Vascular,Seeds/grains,Type of disease,Cohen_d,perchange
14,Botrytis cinerea,6,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.257201646,0.257201646,0.269547325,1.23E-02,1.23E-02,20,sd,0.341563786,0.341563786,0,2.98E-02,2.98E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.695009797,-0.246987952
16,Botrytis cinerea,1,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.918032787,0.918032787,0.943852459,2.58E-02,2.58E-02,20,sd,1.121721311,1.121721311,0,3.44E-02,3.44E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-6.693972749,-0.181585677
19,Botrytis cinerea,9,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,0.464285714,0.464285714,0.492857143,2.86E-02,2.86E-02,20,sd,0.56,0.56,0,2.57E-02,2.57E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.521459311,-0.170918368
9,Botrytis cinerea,3,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,1.032786885,1.032786885,1.064344262,3.16E-02,3.16E-02,20,sd,1.121721311,1.121721311,0,3.44E-02,3.44E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-2.693117656,-0.079283887
18,Botrytis cinerea,2,1,Characterization of the Role of a Non-GPCR Membrane-Bound CFEM Protein in the Pathogenicity and Germination of Botrytis cinerea,Arya et al.,2020,CFEM,Effector,lesion size 1D,1.03852459,1.03852459,1.052868852,1.43E-02,1.43E-02,20,sd,1.121721311,1.121721311,0,3.44E-02,3.44E-02,20,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.154802019,-0.074168798
21,Botrytis cinerea,10,2,BcCFEM1 a CFEM domain-containing protein with putative GPI-anchored site is involved in pathogenicity conidial production and stress tolerance in Botrytis cinerea,zhu et al.,2017,BcCFEM1,Effector,lesion size 1D,1.123756906,1.123756906,1.193370166,6.96E-02,6.96E-02,18,sd,1.501657459,1.501657459,0,6.63E-02,6.63E-02,18,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-5.559335935,-0.251655629
25,Botrytis cinerea,12,2,BcCFEM1 a CFEM domain-containing protein with putative GPI-anchored site is involved in pathogenicity conidial production and stress tolerance in Botrytis cinerea,zhu et al.,2017,BcCFEM1,Effector,lesion size 1D,1.402209945,1.402209945,1.495027624,9.28E-02,9.28E-02,18,sd,1.501657459,1.501657459,0,6.63E-02,6.63E-02,18,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.232994555,-0.066225166
23,Botrytis cinerea,11,2,BcCFEM1 a CFEM domain-containing protein with putative GPI-anchored site is involved in pathogenicity conidial production and stress tolerance in Botrytis cinerea,zhu et al.,2017,BcCFEM1,Effector,lesion size 1D,1.451933702,1.451933702,1.504972376,5.30E-02,5.30E-02,18,sd,1.501657459,1.501657459,0,6.63E-02,6.63E-02,18,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.828239057,-0.033112583
29,Botrytis cinerea,14,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.186666667,0.155555556,0.208484848,2.18E-02,0.018181818,4,sd,0.998787879,0.832323233,0,3.88E-02,0.032323333,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-25.80737474,-0.813106796
31,Botrytis cinerea,15,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.191515152,0.15959596,0.220606061,2.91E-02,0.024242424,4,sd,0.998787879,0.832323233,0,3.88E-02,0.032323333,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-23.54660897,-0.808252427
27,Botrytis cinerea,13,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.256969697,0.214141414,0.307878788,5.09E-02,0.042424242,4,sd,0.998787879,0.832323233,0,3.88E-02,0.032323333,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-16.39153184,-0.742718447
39,Botrytis cinerea,19,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.178815081,0.149012568,0.187432675,8.62E-03,0.007181328,4,sd,0.534290844,0.44524237,0,1.29E-02,0.010771667,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-32.35984061,-0.665322579
37,Botrytis cinerea,18,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.180969479,0.150807899,0.187432675,6.46E-03,0.005385997,4,sd,0.534290844,0.44524237,0,1.29E-02,0.010771667,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-34.57507169,-0.661290324
45,Botrytis cinerea,22,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.411490126,0.342908438,0.424416517,1.29E-02,0.010771993,4,sd,0.995332136,0.829443447,0,2.59E-02,0.021544167,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-28.56571572,-0.586580087
43,Botrytis cinerea,21,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.461041293,0.384201078,0.486894075,2.59E-02,0.021543986,4,sd,0.995332136,0.829443447,0,2.59E-02,0.021544167,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-20.66657947,-0.536796536
33,Botrytis cinerea,16,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.923636364,0.76969697,0.962424242,3.88E-02,0.032323232,4,sd,0.998787879,0.832323233,0,3.88E-02,0.032323333,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.937497004,-0.075242719
41,Botrytis cinerea,20,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.52567325,0.438061042,0.547217235,2.15E-02,0.017953322,4,sd,0.534290844,0.44524237,0,1.29E-02,0.010771667,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.485075084,-0.016129031
47,Botrytis cinerea,23,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.982405745,0.818671454,1.003949731,2.15E-02,0.017953322,4,sd,0.995332136,0.829443447,0,2.59E-02,0.021544167,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.543211779,-0.012987013
35,Botrytis cinerea,17,3,A novel Botrytis cinerea-specific gene BcHBF1 enhances virulence of the grey mould fungus via promoting host penetration and invasive hyphal development,Liu,2019,BcHBF1,Effector,lesion size 1D,0.107719928,0.089766607,0.116337522,8.62E-03,0.007181328,4,sd,0.107719928,0.089766607,0,8.62E-03,0.007181667,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0,0
55,Botrytis cinerea,49,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,0.09190372,0.000919037,0.107221007,1.53E-02,0.000153173,3,N/A,0.999452954,0.00999453,0,3.05E-02,0.00030535,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-37.57064901,-0.908046001
51,Botrytis cinerea,47,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,3.220858896,0.032208589,4.008179959,0.787321063,0.007873211,3,N/A,24.69325153,0.246932515,0,1.860941,0.01860941,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-15.02820213,-0.869565217
59,Botrytis cinerea,51,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,0.149343545,0.001493435,0.179978118,3.06E-02,0.000306346,3,N/A,0.999452954,0.00999453,0,2.30E-02,0.00022976,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-31.39549248,-0.850574764
53,Botrytis cinerea,48,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,0.899890591,0.008998906,0.980306346,8.04E-02,0.000804158,3,N/A,0.999452954,0.00999453,0,3.05E-02,0.00030535,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.636896743,-0.09961689
49,Botrytis cinerea,46,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,25.55214724,0.255521472,27.62781186,2.075664622,0.020756646,3,N/A,24.69325153,0.246932515,0,1.860941,0.01860941,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,0.435715913,0.034782609
57,Botrytis cinerea,50,6,Knockdown of Bmp1 and Pls1 Virulence Genes by Exogenous Application of RNAi-Inducing dsRNA in Botrytis cinerea,Maria et al,2023,MAPKs,Effector,lesion size 2D,1.099015317,0.010990153,1.221553611,0.122538293,0.001225383,3,N/A,0.999452954,0.00999453,0,2.30E-02,0.00022976,3,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,1.129366937,0.09961679
61,Botrytis cinerea,52,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,3.2,0.32,0,1.1,0.11,5,N/A,30,3,0,1.4,0.14,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-21.28727942,-0.893333333
63,Botrytis cinerea,53,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,4,0.4,0,1.00E-04,0.00001,5,N/A,30,3,0,1.4,0.14,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-26.26396609,-0.866666667
71,Botrytis cinerea,57,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,22.7,2.27,0,3,0.3,5,N/A,98,9.8,0,7.4,0.74,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-13.33631423,-0.768367347
67,Botrytis cinerea,55,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,16.7,1.67,0,1.2,0.12,5,N/A,64,6.4,0,1.00E-04,0.00001,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-55.74358439,-0.7390625
65,Botrytis cinerea,54,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,16.8,1.68,0,3.3,0.33,5,N/A,64,6.4,0,1.00E-04,0.00001,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-20.22753943,-0.7375
69,Botrytis cinerea,56,7,The BMP1 Gene Is Essential for Pathogenicity in the Gray Mold Fungus Botrytis cinerea,Zheng,2000,MAPKs,Effector,colony diameter,30,3,0,3.7,0.37,5,N/A,98,9.8,0,7.4,0.74,5,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-11.62350708,-0.693877551
75,Botrytis cinerea,59,8,The Botrytis cinerea xylanase Xyn11A contributes to virulence with its necrotizing activity not with its catalytic activity,Noda,2010,Xyn11A,Enzymes,lesion size 2D,1.206766917,1.098529434,1.458646617,0.251879699,0.501876179,50,N/A,1.680451128,1.296322154,0,0.251879699,0.501876179,50,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.394106611,-0.152579912
73,Botrytis cinerea,58,8,The Botrytis cinerea xylanase Xyn11A contributes to virulence with its necrotizing activity not with its catalytic activity,Noda,2010,Xyn11A,Enzymes,lesion size 2D,0.428571429,0.654653671,0.454887218,2.63E-02,0.16222142,50,N/A,0.578947368,0.76088591,0,3.01E-02,0.173421994,50,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-0.632654385,-0.139616515
81,Botrytis cinerea,62,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,4.4,0.44,0,1.2,0.12,48,N/A,13.2,1.32,0,7.8,0.78,48,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.57696977,-0.666666667
79,Botrytis cinerea,61,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,3.5,0.35,0,0.6,0.06,48,N/A,9,0.9,0,4.7,0.47,48,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.641608207,-0.611111111
85,Botrytis cinerea,64,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,8,0.8,0,2.2,0.22,90,N/A,18.1,1.81,0,3.7,0.37,90,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.318170225,-0.55801105
83,Botrytis cinerea,63,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,4.4,0.44,0,1.4,0.14,90,N/A,9.9,0.99,0,2.1,0.21,90,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.081824981,-0.555555556
87,Botrytis cinerea,65,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,13.1,1.31,0,3,0.3,90,N/A,27.4,2.74,0,4.4,0.44,90,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.79750122,-0.52189781
77,Botrytis cinerea,60,9,Necrotizing activity of five Botrytis cinerea endopolygalacturonases produced in Pichia pastoris: Necrotizing activity of BcPGs,Kars,2005,Xyn11A,Enzymes,lesion size 1D,3,0.3,0,0.5,0.05,48,N/A,4.3,0.43,0,1.3,0.13,48,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-1.319950015,-0.302325581
91,Botrytis cinerea,67,10,The mitogen-activated protein kinase kinase BOS5 is involved in regulating vegetative differentiation and virulence in Botrytis cinerea,Yan,2010,MAPKs,Effector,lesion size 1D,0,0,0,0,0,4,N/A,1.883910387,1.883910387,0,8.15E-02,8.15E-02,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-32.70368868,-1
89,Botrytis cinerea,66,10,The mitogen-activated protein kinase kinase BOS5 is involved in regulating vegetative differentiation and virulence in Botrytis cinerea,Yan,2010,MAPKs,Effector,lesion size 1D,1.588594705,1.588594705,1.695519348,0.106924644,0.106924644,4,N/A,1.883910387,1.883910387,0,8.15E-02,8.15E-02,4,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-3.106895178,-0.156756757
119,Botrytis cinerea,113,12,Actin Is Required for Cellular Development and Virulence of <i>Botrytis cinerea</i> via the Mediation of Secretory Proteins,Li et al.,2020,Bcbch,Enzymes,lesion size 1D,5.180505415,5.180505415,5.866425993,0.685920578,0.685920578,6,N/A,7.815884477,7.815884477,0,0.25271,0.25271,6,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-5.098535326,-0.337182448
10,Botrytis cinerea,114,12,Actin Is Required for Cellular Development and Virulence of <i>Botrytis cinerea</i> via the Mediation of Secretory Proteins,Li et al.,2020,Bcbch,Enzymes,lesion size 1D,5.23465704,5.23465704,5.703971119,0.469314079,0.469314079,6,N/A,7.815884477,7.815884477,0,0.25271,0.25271,6,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-6.848443211,-0.330254042
117,Botrytis cinerea,112,12,Actin Is Required for Cellular Development and Virulence of <i>Botrytis cinerea</i> via the Mediation of Secretory Proteins,Li et al.,2020,Bcbch,Enzymes,lesion size 1D,5.23465704,5.23465704,6.010830325,0.776173285,0.776173285,6,N/A,7.815884477,7.815884477,0,0.25271,0.25271,6,Necrotrophic,1,0,0,0,Fruits/ornamental/woody,0,0,1,1,Air,1,0,0,Leaves/Fruits/flower,1,1,0,0,grey mould,-4.472022509,-0.330254042
